Date,temp_avg,temp_max,temp_min,Month,Year,Season,Winter,Spring,Summer,Autumn,Weighted_Temp
1908-01,-3.5,0.1,-7.5,1,1908,Winter,-2.59,-1.86,-1.62,-1.54,-3.045
1908-02,-4.0,0.8,-8.8,2,1908,Winter,-2.59,-1.86,-1.62,-1.54,-3.295
1908-03,2.9,8.1,-1.7,3,1908,Spring,-2.59,-1.86,-1.62,-1.54,0.5199999999999999
1908-04,10.1,16.5,4.6,4,1908,Spring,-2.59,-1.86,-1.62,-1.54,4.12
1908-05,14.9,21.1,10.0,5,1908,Spring,-2.59,-1.86,-1.62,-1.54,6.5200000000000005
1908-06,20.7,26.8,16.3,6,1908,Summer,-2.59,-1.86,-1.62,-1.54,9.54
1908-07,23.5,27.6,20.3,7,1908,Summer,-2.59,-1.86,-1.62,-1.54,10.94
1908-08,24.3,29.2,21.0,8,1908,Summer,-2.59,-1.86,-1.62,-1.54,11.34
1908-09,19.3,25.0,14.7,9,1908,Autumn,-2.59,-1.86,-1.62,-1.54,8.88
1908-10,13.6,19.9,7.7,10,1908,Autumn,-2.59,-1.86,-1.62,-1.54,6.029999999999999
1908-11,3.6,8.9,-1.5,11,1908,Autumn,-2.59,-1.86,-1.62,-1.54,1.03
1908-12,-0.8,4.7,-6.0,12,1908,Winter,-2.59,-1.86,-1.62,-1.54,-1.6949999999999998
1909-01,-2.5,2.0,-7.3,1,1909,Winter,-2.42,-1.96,-0.99,-1.69,-2.46
1909-02,-3.2,2.1,-8.6,2,1909,Winter,-2.42,-1.96,-0.99,-1.69,-2.81
1909-03,1.8,7.3,-3.1,3,1909,Spring,-2.42,-1.96,-0.99,-1.69,-0.07999999999999996
1909-04,10.4,16.6,4.6,4,1909,Spring,-2.42,-1.96,-0.99,-1.69,4.220000000000001
1909-05,15.4,21.8,10.2,5,1909,Spring,-2.42,-1.96,-0.99,-1.69,6.720000000000001
1909-06,20.6,26.7,15.8,6,1909,Summer,-2.42,-1.96,-0.99,-1.69,9.805000000000001
1909-07,24.6,28.8,21.4,7,1909,Summer,-2.42,-1.96,-0.99,-1.69,11.805000000000001
1909-08,25.3,29.5,22.3,8,1909,Summer,-2.42,-1.96,-0.99,-1.69,12.155000000000001
1909-09,20.2,25.8,15.8,9,1909,Autumn,-2.42,-1.96,-0.99,-1.69,9.254999999999999
1909-10,12.2,18.4,6.6,10,1909,Autumn,-2.42,-1.96,-0.99,-1.69,5.255
1909-11,5.2,11.4,-0.8,11,1909,Autumn,-2.42,-1.96,-0.99,-1.69,1.7550000000000001
1909-12,-3.4,1.0,-7.8,12,1909,Winter,-2.42,-1.96,-0.99,-1.69,-2.91
1910-01,-2.2,1.9,-5.6,1,1910,Winter,-2.53,-2.32,-1.01,-1.61,-2.365
1910-02,-3.4,2.0,-8.2,2,1910,Winter,-2.53,-2.32,-1.01,-1.61,-2.965
1910-03,2.5,7.9,-2.6,3,1910,Spring,-2.53,-2.32,-1.01,-1.61,0.09000000000000008
1910-04,9.9,16.5,4.3,4,1910,Spring,-2.53,-2.32,-1.01,-1.61,3.79
1910-05,16.3,24.3,10.1,5,1910,Spring,-2.53,-2.32,-1.01,-1.61,6.99
1910-06,19.8,25.3,15.6,6,1910,Summer,-2.53,-2.32,-1.01,-1.61,9.395
1910-07,23.3,27.2,20.5,7,1910,Summer,-2.53,-2.32,-1.01,-1.61,11.145
1910-08,24.2,29.2,20.8,8,1910,Summer,-2.53,-2.32,-1.01,-1.61,11.594999999999999
1910-09,19.1,24.4,14.9,9,1910,Autumn,-2.53,-2.32,-1.01,-1.61,8.745000000000001
1910-10,13.7,21.3,7.2,10,1910,Autumn,-2.53,-2.32,-1.01,-1.61,6.045
1910-11,5.5,10.9,0.6,11,1910,Autumn,-2.53,-2.32,-1.01,-1.61,1.9449999999999998
1910-12,-4.6,0.2,-9.4,12,1910,Winter,-2.53,-2.32,-1.01,-1.61,-3.5649999999999995
1911-01,-5.0,0.0,-10.0,1,1911,Winter,-2.2,-1.7,-0.56,-1.58,-3.6
1911-02,-1.1,4.0,-5.4,2,1911,Winter,-2.2,-1.7,-0.56,-1.58,-1.6500000000000001
