지점,평균기온(℃),최저기온(℃),최고기온(℃),년,월,구간
서울경기,15.4,12.3,19.2,1974,6,1973-1999
서울경기,17.1,12.4,23.1,1974,6,1973-1999
서울경기,15.7,13.8,19.3,1974,6,1973-1999
서울경기,14.7,11.6,19.4,1974,6,1973-1999
서울경기,15.1,9.0,20.8,1974,6,1973-1999
서울경기,15.8,11.7,21.0,1974,6,1973-1999
서울경기,17.5,14.3,22.4,1974,6,1973-1999
서울경기,18.9,15.2,23.7,1974,6,1973-1999
서울경기,20.8,15.6,27.4,1974,6,1973-1999
서울경기,17.1,15.4,20.6,1974,6,1973-1999
서울경기,17.9,14.1,23.4,1974,6,1973-1999
서울경기,17.9,12.4,24.3,1974,6,1973-1999
서울경기,18.9,14.7,24.1,1974,6,1973-1999
서울경기,20.2,14.2,26.8,1974,6,1973-1999
서울경기,21.0,15.8,25.8,1974,6,1973-1999
서울경기,21.4,15.7,26.6,1974,6,1973-1999
서울경기,22.5,18.6,27.7,1974,6,1973-1999
서울경기,19.9,16.2,23.8,1974,6,1973-1999
서울경기,19.6,13.6,24.9,1974,6,1973-1999
서울경기,17.9,16.4,19.5,1974,6,1973-1999
서울경기,18.3,14.4,22.5,1974,6,1973-1999
서울경기,19.4,14.0,24.9,1974,6,1973-1999
서울경기,18.7,15.0,22.7,1974,6,1973-1999
서울경기,18.8,15.0,24.2,1974,6,1973-1999
서울경기,20.5,15.7,26.5,1974,6,1973-1999
서울경기,22.2,17.0,28.6,1974,6,1973-1999
서울경기,20.9,17.9,25.5,1974,6,1973-1999
서울경기,20.1,16.2,24.8,1974,6,1973-1999
서울경기,20.6,16.0,25.8,1974,6,1973-1999
서울경기,21.1,17.1,27.0,1974,6,1973-1999
서울경기,22.1,16.6,28.5,1974,7,1973-1999
서울경기,23.3,18.2,28.7,1974,7,1973-1999
서울경기,22.7,19.8,26.5,1974,7,1973-1999
서울경기,21.4,20.0,23.4,1974,7,1973-1999
서울경기,22.5,19.3,26.8,1974,7,1973-1999
서울경기,22.0,19.0,25.9,1974,7,1973-1999
서울경기,22.5,19.1,28.0,1974,7,1973-1999
서울경기,20.4,19.2,22.3,1974,7,1973-1999
서울경기,21.4,19.5,23.5,1974,7,1973-1999
서울경기,21.6,19.5,25.8,1974,7,1973-1999
서울경기,22.4,19.8,27.1,1974,7,1973-1999
서울경기,21.5,20.4,23.1,1974,7,1973-1999
서울경기,22.1,19.9,25.4,1974,7,1973-1999
서울경기,20.8,18.8,22.9,1974,7,1973-1999
서울경기,22.2,20.6,24.9,1974,7,1973-1999
서울경기,23.7,20.7,29.0,1974,7,1973-1999
서울경기,24.0,21.2,27.9,1974,7,1973-1999
서울경기,25.3,22.0,29.5,1974,7,1973-1999
서울경기,24.3,22.2,26.7,1974,7,1973-1999
서울경기,24.5,22.4,28.5,1974,7,1973-1999
서울경기,25.5,22.5,29.1,1974,7,1973-1999
서울경기,25.2,22.0,29.9,1974,7,1973-1999
서울경기,24.3,19.0,29.9,1974,7,1973-1999
서울경기,23.9,18.5,29.1,1974,7,1973-1999
서울경기,24.3,21.3,28.6,1974,7,1973-1999
서울경기,22.8,20.2,25.2,1974,7,1973-1999
서울경기,24.8,21.9,28.3,1974,7,1973-1999
서울경기,24.1,22.5,26.3,1974,7,1973-1999
서울경기,23.2,21.8,25.6,1974,7,1973-1999
서울경기,24.2,22.1,28.4,1974,7,1973-1999
서울경기,25.2,22.9,29.1,1974,7,1973-1999
서울경기,24.9,22.9,27.9,1974,8,1973-1999
서울경기,26.0,24.4,28.8,1974,8,1973-1999
서울경기,24.0,23.2,25.9,1974,8,1973-1999
서울경기,25.6,23.4,29.2,1974,8,1973-1999
서울경기,25.4,24.2,27.6,1974,8,1973-1999
서울경기,23.8,22.5,25.5,1974,8,1973-1999
서울경기,24.5,21.9,29.2,1974,8,1973-1999
서울경기,24.7,21.6,29.7,1974,8,1973-1999
서울경기,24.9,20.0,29.7,1974,8,1973-1999
서울경기,25.9,21.5,31.1,1974,8,1973-1999
서울경기,26.4,22.0,31.7,1974,8,1973-1999
서울경기,26.2,22.2,30.9,1974,8,1973-1999
서울경기,25.9,22.2,31.0,1974,8,1973-1999
서울경기,25.7,23.0,28.8,1974,8,1973-1999
서울경기,24.1,22.0,27.0,1974,8,1973-1999
서울경기,25.6,21.6,30.8,1974,8,1973-1999
서울경기,26.8,22.2,31.6,1974,8,1973-1999
서울경기,25.4,19.4,30.6,1974,8,1973-1999
서울경기,26.6,20.1,33.2,1974,8,1973-1999
서울경기,27.7,23.8,32.5,1974,8,1973-1999
서울경기,26.8,23.3,31.6,1974,8,1973-1999
서울경기,25.9,23.1,29.7,1974,8,1973-1999
서울경기,21.8,18.9,25.0,1974,8,1973-1999
서울경기,20.6,18.1,25.1,1974,8,1973-1999
서울경기,21.5,14.2,28.1,1974,8,1973-1999
서울경기,22.6,16.5,29.0,1974,8,1973-1999
서울경기,23.5,17.7,29.3,1974,8,1973-1999
서울경기,22.0,16.0,27.5,1974,8,1973-1999
서울경기,20.7,16.8,25.7,1974,8,1973-1999
서울경기,20.9,19.2,25.6,1974,8,1973-1999
서울경기,21.7,19.4,24.7,1974,8,1973-1999
서울경기,17.6,12.1,22.6,1975,6,1973-1999
서울경기,18.2,14.8,23.8,1975,6,1973-1999
서울경기,19.9,15.4,25.4,1975,6,1973-1999
서울경기,18.2,15.6,21.8,1975,6,1973-1999
서울경기,19.5,16.0,25.1,1975,6,1973-1999
서울경기,19.4,15.9,24.5,1975,6,1973-1999
서울경기,17.7,14.7,23.1,1975,6,1973-1999
서울경기,17.5,15.3,21.5,1975,6,1973-1999
서울경기,19.1,15.0,24.0,1975,6,1973-1999
서울경기,20.3,15.6,26.2,1975,6,1973-1999
