Date,temp_avg
1965-01,-0.3
1965-02,1.4
1965-03,4.8
1965-04,10.6
1965-05,17.3
1965-06,21.0
1965-07,23.8
1965-08,25.4
1965-09,20.8
1965-10,15.7
1965-11,10.0
1965-12,2.0
1966-01,-0.6
1966-02,2.8
1966-03,6.5
1966-04,11.8
1966-05,17.5
1966-06,20.3
1966-07,24.2
1966-08,26.9
1966-09,20.2
1966-10,15.6
1966-11,8.4
1966-12,0.8
1967-01,-1.5
1967-02,0.3
1967-03,6.4
1967-04,12.1
1967-05,18.7
1967-06,21.4
1967-07,25.1
1967-08,27.4
1967-09,21.0
1967-10,15.2
1967-11,8.4
1967-12,-1.2
1968-01,-0.6
1968-02,-2.0
1968-03,5.8
1968-04,12.3
1968-05,16.4
1968-06,20.5
1968-07,24.4
1968-08,24.7
1968-09,20.8
1968-10,13.9
1968-11,9.3
1968-12,5.6
1969-01,-0.4
1969-02,0.0
1969-03,4.3
1969-04,11.6
1969-05,16.9
1969-06,20.1
1969-07,23.9
1969-08,25.4
1969-09,21.0
1969-10,14.3
1969-11,7.2
1969-12,1.0
1970-01,-1.9
1970-02,2.2
1970-03,2.6
1970-04,11.4
1970-05,17.4
1970-06,19.8
1970-07,23.5
1970-08,25.8
1970-09,21.7
1970-10,15.5
1970-11,7.5
1970-12,1.9
1971-01,-0.3
1971-02,1.0
1971-03,4.2
1971-04,11.7
1971-05,17.1
1971-06,21.0
1971-07,25.1
1971-08,24.7
1971-09,20.8
1971-10,13.8
1971-11,9.6
1971-12,2.2
1972-01,2.7
1972-02,1.4
1972-03,5.8
1972-04,11.6
1972-05,15.9
1972-06,20.8
1972-07,24.5
1972-08,23.8
1972-09,19.4
1972-10,14.7
1972-11,7.5
1972-12,2.5
1973-01,1.4
1973-02,2.0
1973-03,5.2
1973-04,12.8
1973-05,16.8
1973-06,20.7
1973-07,26.5
1973-08,26.2
1973-09,19.8
1973-10,13.2
1973-11,6.1
1973-12,-1.0
1974-01,-1.8
1974-02,-0.6
1974-03,4.3
1974-04,11.5
1974-05,16.7
1974-06,19.7
1974-07,22.3
1974-08,25.0
1974-09,19.7
1974-10,13.4
1974-11,6.1
1974-12,0.9
1975-01,-0.9
1975-02,0.4
1975-03,5.0
1975-04,12.4
1975-05,16.1
1975-06,20.5
1975-07,24.8
1975-08,26.1
1975-09,22.3
1975-10,15.2
1975-11,9.3
1975-12,0.4
1976-01,-2.1
1976-02,3.2
1976-03,5.4
1976-04,11.1
1976-05,16.2
1976-06,20.4
1976-07,22.7
1976-08,24.4
1976-09,19.0
1976-10,13.8
1976-11,5.0
1976-12,1.4
1977-01,-4.5
1977-02,-1.2
1977-03,5.8
1977-04,12.5
1977-05,17.0
1977-06,20.9
1977-07,25.7
1977-08,23.7
1977-09,21.1
1977-10,15.9
1977-11,8.2
1977-12,3.4
1978-01,-0.3
1978-02,-0.4
1978-03,5.0
1978-04,12.1
1978-05,17.8
1978-06,21.5
1978-07,26.6
1978-08,25.9
1978-09,20.5
1978-10,14.3
1978-11,8.4
1978-12,2.8
1979-01,1.8
1979-02,2.4
1979-03,6.2
1979-04,11.1
1979-05,16.2
1979-06,21.4
1979-07,24.0
1979-08,25.0
1979-09,19.5
1979-10,15.0
1979-11,6.8
1979-12,2.6
1980-01,-1.2
1980-02,-1.4
1980-03,5.5
1980-04,10.6
1980-05,16.6
1980-06,21.5
1980-07,22.6
1980-08,22.0
1980-09,18.8
1980-10,13.1
1980-11,8.5
1980-12,-1.3
1981-01,-4.7
1981-02,-0.3
1981-03,6.1
1981-04,12.0
1981-05,16.3
1981-06,20.8
1981-07,25.6
1981-08,24.2
1981-09,19.2
1981-10,13.1
1981-11,4.8
1981-12,0.9
1982-01,-1.6
1982-02,0.9
1982-03,6.4
1982-04,11.7
1982-05,17.9
1982-06,21.1
1982-07,23.8
1982-08,25.1
1982-09,19.4
1982-10,14.9
1982-11,8.8
1982-12,1.3
1983-01,-0.6
1983-02,-0.6
1983-03,6.0
1983-04,13.0
1983-05,17.4
1983-06,20.9
1983-07,23.6
1983-08,25.6
1983-09,21.5
1983-10,14.4
1983-11,6.9
1983-12,0.2
1984-01,-3.9
1984-02,-2.0
1984-03,3.4
1984-04,11.5
1984-05,17.2
1984-06,21.6
1984-07,24.8
1984-08,26.4
1984-09,19.9
1984-10,13.5
1984-11,8.3
1984-12,1.1
1985-01,-3.6
1985-02,1.2
1985-03,5.2
1985-04,11.7
1985-05,17.5
1985-06,20.7
1985-07,25.2
1985-08,26.3
1985-09,21.0
1985-10,14.9
1985-11,7.1
1985-12,-1.0
1986-01,-3.0
1986-02,-1.7
1986-03,5.2
1986-04,12.1
1986-05,16.7
1986-06,20.9
1986-07,22.8
1986-08,24.6
1986-09,19.1
1986-10,12.5
1986-11,6.3
1986-12,3.2
1987-01,-0.7
1987-02,1.5
1987-03,5.1
1987-04,11.3
1987-05,16.8
1987-06,21.1
1987-07,23.8
1987-08,24.3
1987-09,19.2
1987-10,15.2
1987-11,7.9
1987-12,1.9
1988-01,-0.1
1988-02,-0.3
1988-03,4.4
1988-04,11.4
1988-05,17.0
1988-06,21.3
1988-07,23.9
1988-08,25.2
1988-09,20.3
1988-10,14.4
1988-11,6.1
1988-12,1.3
1989-01,1.6
1989-02,2.7
1989-03,6.0
1989-04,13.3
1989-05,17.4
1989-06,20.0
1989-07,23.8
1989-08,24.5
